word,replace
Dr.,Dr
Esq.,Esq
Hon.,Hon
Jr.,Jr
Mr.,Mr
Mrs.,Mrs
Ms.,Ms
Messrs.,Messrs
Mmes.,Mmes
Msgr.,Msgr
Prof.,Prof
Rev.,Rev
Sr.,Sr
St.,St
Ph.D,PhD
Ltd.,Ltd
