,prefix
0,ante
1,anti
2,bi
3,co
4,cyber
5,counter
6,hyper
7,extra
8,infra
9,inter
10,intra
11,micro
12,mid
13,multi
14,non
15,over
16,pre
17,post
18,pro
19,pseudo
20,re
21,semi
22,sub
23,super
24,supra
25,trans
26,ultra
28,under
29,bio
30,macro
31,mega
32,meta
33,mini
34,neo
35,proto
36,milli
37,centi
